disaster_types_test:tensor(0.4926, device='cuda:0')_val:tensor(0.4701, device='cuda:0')
disaster_types_test:tensor(0.5465, device='cuda:0')_val:tensor(0.5340, device='cuda:0')
disaster_types_test:tensor(0.5646, device='cuda:0')_val:tensor(0.5524, device='cuda:0')
disaster_types_test:tensor(0.5768, device='cuda:0')_val:tensor(0.5646, device='cuda:0')
disaster_types_test:tensor(0.5881, device='cuda:0')_val:tensor(0.5748, device='cuda:0')
disaster_types_test:tensor(0.5928, device='cuda:0')_val:tensor(0.5796, device='cuda:0')
disaster_types_test:tensor(0.5975, device='cuda:0')_val:tensor(0.5871, device='cuda:0')
disaster_types_test:tensor(0.6009, device='cuda:0')_val:tensor(0.5925, device='cuda:0')
disaster_types_test:tensor(0.6066, device='cuda:0')_val:tensor(0.6014, device='cuda:0')
disaster_types_test:tensor(0.6116, device='cuda:0')_val:tensor(0.6082, device='cuda:0')
disaster_types_test:tensor(0.6119, device='cuda:0')_val:tensor(0.6122, device='cuda:0')
disaster_types_test:tensor(0.6122, device='cuda:0')_val:tensor(0.6150, device='cuda:0')
disaster_types_test:tensor(0.6163, device='cuda:0')_val:tensor(0.6156, device='cuda:0')
disaster_types_test:tensor(0.6197, device='cuda:0')_val:tensor(0.6197, device='cuda:0')
disaster_types_test:tensor(0.6225, device='cuda:0')_val:tensor(0.6204, device='cuda:0')
disaster_types_test:tensor(0.6235, device='cuda:0')_val:tensor(0.6252, device='cuda:0')
disaster_types_test:tensor(0.6285, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.6285, device='cuda:0')_val:tensor(0.6327, device='cuda:0')
disaster_types_test:tensor(0.6294, device='cuda:0')_val:tensor(0.6306, device='cuda:0')
disaster_types_test:tensor(0.6316, device='cuda:0')_val:tensor(0.6320, device='cuda:0')
disaster_types_test:tensor(0.6319, device='cuda:0')_val:tensor(0.6293, device='cuda:0')
disaster_types_test:tensor(0.6335, device='cuda:0')_val:tensor(0.6320, device='cuda:0')
disaster_types_test:tensor(0.6332, device='cuda:0')_val:tensor(0.6299, device='cuda:0')
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6293, device='cuda:0')
disaster_types_test:tensor(0.6351, device='cuda:0')_val:tensor(0.6293, device='cuda:0')
disaster_types_test:tensor(0.6347, device='cuda:0')_val:tensor(0.6299, device='cuda:0')
disaster_types_test:tensor(0.6338, device='cuda:0')_val:tensor(0.6286, device='cuda:0')
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6306, device='cuda:0')
disaster_types_test:tensor(0.6351, device='cuda:0')_val:tensor(0.6306, device='cuda:0')
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6306, device='cuda:0')
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6306, device='cuda:0')
disaster_types_test:tensor(0.6335, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.6344, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.6341, device='cuda:0')_val:tensor(0.6313, device='cuda:0')
disaster_types_test:tensor(0.5014, device='cuda:0')_val:tensor(0.4898, device='cuda:0')_train:tensor(0.4894, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5286, device='cuda:0')_val:tensor(0.5190, device='cuda:0')_train:tensor(0.6804, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5437, device='cuda:0')_val:tensor(0.5449, device='cuda:0')_train:tensor(0.7481, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5577, device='cuda:0')_val:tensor(0.5544, device='cuda:0')_train:tensor(0.7971, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5712, device='cuda:0')_val:tensor(0.5667, device='cuda:0')_train:tensor(0.8413, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5806, device='cuda:0')_val:tensor(0.5687, device='cuda:0')_train:tensor(0.8763, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5862, device='cuda:0')_val:tensor(0.5748, device='cuda:0')_train:tensor(0.9082, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5919, device='cuda:0')_val:tensor(0.5850, device='cuda:0')_train:tensor(0.9355, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5947, device='cuda:0')_val:tensor(0.5884, device='cuda:0')_train:tensor(0.9556, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5959, device='cuda:0')_val:tensor(0.5905, device='cuda:0')_train:tensor(0.9706, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5994, device='cuda:0')_val:tensor(0.5912, device='cuda:0')_train:tensor(0.9810, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5233, device='cuda:0')_val:tensor(0.5252, device='cuda:0')_train:tensor(0.5023, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5437, device='cuda:0')_val:tensor(0.5449, device='cuda:0')_train:tensor(0.6831, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5552, device='cuda:0')_val:tensor(0.5599, device='cuda:0')_train:tensor(0.7441, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5690, device='cuda:0')_val:tensor(0.5755, device='cuda:0')_train:tensor(0.7932, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5806, device='cuda:0')_val:tensor(0.5850, device='cuda:0')_train:tensor(0.8358, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5878, device='cuda:0')_val:tensor(0.5884, device='cuda:0')_train:tensor(0.8733, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5975, device='cuda:0')_val:tensor(0.5939, device='cuda:0')_train:tensor(0.9054, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.5987, device='cuda:0')_val:tensor(0.5986, device='cuda:0')_train:tensor(0.9314, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6022, device='cuda:0')_val:tensor(0.6034, device='cuda:0')_train:tensor(0.9510, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6072, device='cuda:0')_val:tensor(0.6041, device='cuda:0')_train:tensor(0.9681, device='cuda:0')_lr:1e-05
disaster_types_test:tensor(0.6113, device='cuda:0')_val:tensor(0.6082, device='cuda:0')_train:tensor(0.9769, device='cuda:0')_lr:1e-05
