disaster_types_test:tensor(0.3468, device='cuda:0')_val:tensor(0.3401, device='cuda:0')
disaster_types_test:tensor(0.4673, device='cuda:0')_val:tensor(0.4238, device='cuda:0')
disaster_types_test:tensor(0.5121, device='cuda:0')_val:tensor(0.4776, device='cuda:0')
disaster_types_test:tensor(0.5224, device='cuda:0')_val:tensor(0.4952, device='cuda:0')
disaster_types_test:tensor(0.5374, device='cuda:0')_val:tensor(0.5068, device='cuda:0')
disaster_types_test:tensor(0.5446, device='cuda:0')_val:tensor(0.5170, device='cuda:0')
disaster_types_test:tensor(0.5531, device='cuda:0')_val:tensor(0.5245, device='cuda:0')
disaster_types_test:tensor(0.5543, device='cuda:0')_val:tensor(0.5313, device='cuda:0')
disaster_types_test:tensor(0.5559, device='cuda:0')_val:tensor(0.5354, device='cuda:0')
disaster_types_test:tensor(0.5559, device='cuda:0')_val:tensor(0.5367, device='cuda:0')
disaster_types_test:tensor(0.5527, device='cuda:0')_val:tensor(0.5435, device='cuda:0')
disaster_types_test:tensor(0.5556, device='cuda:0')_val:tensor(0.5456, device='cuda:0')
disaster_types_test:tensor(0.5556, device='cuda:0')_val:tensor(0.5463, device='cuda:0')
disaster_types_test:tensor(0.5540, device='cuda:0')_val:tensor(0.5449, device='cuda:0')
disaster_types_test:tensor(0.5562, device='cuda:0')_val:tensor(0.5497, device='cuda:0')
disaster_types_test:tensor(0.5624, device='cuda:0')_val:tensor(0.5537, device='cuda:0')
disaster_types_test:tensor(0.5643, device='cuda:0')_val:tensor(0.5565, device='cuda:0')
disaster_types_test:tensor(0.5674, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5693, device='cuda:0')_val:tensor(0.5639, device='cuda:0')
disaster_types_test:tensor(0.5737, device='cuda:0')_val:tensor(0.5639, device='cuda:0')
disaster_types_test:tensor(0.5765, device='cuda:0')_val:tensor(0.5646, device='cuda:0')
disaster_types_test:tensor(0.5778, device='cuda:0')_val:tensor(0.5605, device='cuda:0')
disaster_types_test:tensor(0.5787, device='cuda:0')_val:tensor(0.5633, device='cuda:0')
disaster_types_test:tensor(0.5746, device='cuda:0')_val:tensor(0.5612, device='cuda:0')
disaster_types_test:tensor(0.5737, device='cuda:0')_val:tensor(0.5571, device='cuda:0')
disaster_types_test:tensor(0.5731, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5684, device='cuda:0')_val:tensor(0.5571, device='cuda:0')
disaster_types_test:tensor(0.5665, device='cuda:0')_val:tensor(0.5571, device='cuda:0')
disaster_types_test:tensor(0.5606, device='cuda:0')_val:tensor(0.5565, device='cuda:0')
disaster_types_test:tensor(0.5543, device='cuda:0')_val:tensor(0.5497, device='cuda:0')
disaster_types_test:tensor(0.5465, device='cuda:0')_val:tensor(0.5442, device='cuda:0')
disaster_types_test:tensor(0.5408, device='cuda:0')_val:tensor(0.5347, device='cuda:0')
disaster_types_test:tensor(0.5671, device='cuda:0')_val:tensor(0.5558, device='cuda:0')
disaster_types_test:tensor(0.5775, device='cuda:0')_val:tensor(0.5558, device='cuda:0')
disaster_types_test:tensor(0.5787, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_types_test:tensor(0.5806, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_types_test:tensor(0.5809, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5809, device='cuda:0')_val:tensor(0.5605, device='cuda:0')
disaster_types_test:tensor(0.5793, device='cuda:0')_val:tensor(0.5612, device='cuda:0')
disaster_types_test:tensor(0.5803, device='cuda:0')_val:tensor(0.5633, device='cuda:0')
disaster_types_test:tensor(0.5806, device='cuda:0')_val:tensor(0.5633, device='cuda:0')
disaster_types_test:tensor(0.5793, device='cuda:0')_val:tensor(0.5653, device='cuda:0')
disaster_types_test:tensor(0.5784, device='cuda:0')_val:tensor(0.5646, device='cuda:0')
disaster_types_test:tensor(0.5775, device='cuda:0')_val:tensor(0.5660, device='cuda:0')
disaster_types_test:tensor(0.5759, device='cuda:0')_val:tensor(0.5660, device='cuda:0')
disaster_types_test:tensor(0.5750, device='cuda:0')_val:tensor(0.5646, device='cuda:0')
disaster_types_test:tensor(0.5743, device='cuda:0')_val:tensor(0.5639, device='cuda:0')
disaster_types_test:tensor(0.5728, device='cuda:0')_val:tensor(0.5639, device='cuda:0')
disaster_types_test:tensor(0.5721, device='cuda:0')_val:tensor(0.5633, device='cuda:0')
disaster_types_test:tensor(0.5718, device='cuda:0')_val:tensor(0.5619, device='cuda:0')
disaster_types_test:tensor(0.5715, device='cuda:0')_val:tensor(0.5626, device='cuda:0')
disaster_types_test:tensor(0.5718, device='cuda:0')_val:tensor(0.5612, device='cuda:0')
disaster_types_test:tensor(0.5725, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5709, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5703, device='cuda:0')_val:tensor(0.5558, device='cuda:0')
disaster_types_test:tensor(0.5715, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5731, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5753, device='cuda:0')_val:tensor(0.5599, device='cuda:0')
disaster_types_test:tensor(0.5753, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_types_test:tensor(0.5746, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5743, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5743, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5743, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5740, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5740, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5740, device='cuda:0')_val:tensor(0.5585, device='cuda:0')
disaster_types_test:tensor(0.5737, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_types_test:tensor(0.5737, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_types_test:tensor(0.5737, device='cuda:0')_val:tensor(0.5592, device='cuda:0')
disaster_typesepoch: 0_test:tensor(0.6673, device='cuda:0')_val:tensor(0.6313, device='cuda:0')_train:tensor(0.4828, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.7233, device='cuda:0')_val:tensor(0.6755, device='cuda:0')_train:tensor(0.6661, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.7480, device='cuda:0')_val:tensor(0.7082, device='cuda:0')_train:tensor(0.7004, device='cuda:0')_lr:1e-05
disaster_typesepoch: 3_test:tensor(0.7606, device='cuda:0')_val:tensor(0.7224, device='cuda:0')_train:tensor(0.7189, device='cuda:0')_lr:1e-05
disaster_typesepoch: 4_test:tensor(0.7671, device='cuda:0')_val:tensor(0.7259, device='cuda:0')_train:tensor(0.7386, device='cuda:0')_lr:1e-05
disaster_typesepoch: 5_test:tensor(0.7731, device='cuda:0')_val:tensor(0.7340, device='cuda:0')_train:tensor(0.7434, device='cuda:0')_lr:1e-05
disaster_typesepoch: 6_test:tensor(0.7869, device='cuda:0')_val:tensor(0.7361, device='cuda:0')_train:tensor(0.7564, device='cuda:0')_lr:1e-05
disaster_typesepoch: 7_test:tensor(0.7875, device='cuda:0')_val:tensor(0.7401, device='cuda:0')_train:tensor(0.7642, device='cuda:0')_lr:1e-05
disaster_typesepoch: 8_test:tensor(0.7912, device='cuda:0')_val:tensor(0.7476, device='cuda:0')_train:tensor(0.7732, device='cuda:0')_lr:1e-05
disaster_typesepoch: 9_test:tensor(0.7912, device='cuda:0')_val:tensor(0.7449, device='cuda:0')_train:tensor(0.7803, device='cuda:0')_lr:1e-05
disaster_typesepoch: 10_test:tensor(0.7947, device='cuda:0')_val:tensor(0.7503, device='cuda:0')_train:tensor(0.7846, device='cuda:0')_lr:1e-05
disaster_typesepoch: 11_test:tensor(0.7909, device='cuda:0')_val:tensor(0.7429, device='cuda:0')_train:tensor(0.7906, device='cuda:0')_lr:1e-05
disaster_typesepoch: 12_test:tensor(0.7856, device='cuda:0')_val:tensor(0.7374, device='cuda:0')_train:tensor(0.7956, device='cuda:0')_lr:1e-05
disaster_typesepoch: 13_test:tensor(0.7947, device='cuda:0')_val:tensor(0.7599, device='cuda:0')_train:tensor(0.8010, device='cuda:0')_lr:1e-05
disaster_typesepoch: 14_test:tensor(0.8000, device='cuda:0')_val:tensor(0.7483, device='cuda:0')_train:tensor(0.7998, device='cuda:0')_lr:1e-05
disaster_typesepoch: 15_test:tensor(0.7962, device='cuda:0')_val:tensor(0.7537, device='cuda:0')_train:tensor(0.8053, device='cuda:0')_lr:1e-05
disaster_typesepoch: 16_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7592, device='cuda:0')_train:tensor(0.8124, device='cuda:0')_lr:1e-05
disaster_typesepoch: 17_test:tensor(0.8009, device='cuda:0')_val:tensor(0.7578, device='cuda:0')_train:tensor(0.8186, device='cuda:0')_lr:1e-05
disaster_typesepoch: 18_test:tensor(0.8006, device='cuda:0')_val:tensor(0.7544, device='cuda:0')_train:tensor(0.8245, device='cuda:0')_lr:1e-05
disaster_typesepoch: 19_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7633, device='cuda:0')_train:tensor(0.8276, device='cuda:0')_lr:1e-05
disaster_typesepoch: 20_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7585, device='cuda:0')_train:tensor(0.8299, device='cuda:0')_lr:1e-05
disaster_typesepoch: 21_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7626, device='cuda:0')_train:tensor(0.8368, device='cuda:0')_lr:1e-05
disaster_typesepoch: 22_test:tensor(0.8031, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8375, device='cuda:0')_lr:1e-05
disaster_typesepoch: 23_test:tensor(0.8019, device='cuda:0')_val:tensor(0.7646, device='cuda:0')_train:tensor(0.8372, device='cuda:0')_lr:1e-05
disaster_typesepoch: 24_test:tensor(0.7997, device='cuda:0')_val:tensor(0.7639, device='cuda:0')_train:tensor(0.8412, device='cuda:0')_lr:1e-05
disaster_typesepoch: 25_test:tensor(0.8063, device='cuda:0')_val:tensor(0.7646, device='cuda:0')_train:tensor(0.8444, device='cuda:0')_lr:1e-05
disaster_typesepoch: 26_test:tensor(0.8044, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8441, device='cuda:0')_lr:1e-05
disaster_typesepoch: 27_test:tensor(0.8047, device='cuda:0')_val:tensor(0.7660, device='cuda:0')_train:tensor(0.8537, device='cuda:0')_lr:1e-05
disaster_typesepoch: 28_test:tensor(0.8016, device='cuda:0')_val:tensor(0.7694, device='cuda:0')_train:tensor(0.8571, device='cuda:0')_lr:1e-05
disaster_typesepoch: 29_test:tensor(0.7966, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8561, device='cuda:0')_lr:1e-05
disaster_typesepoch: 30_test:tensor(0.8006, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8592, device='cuda:0')_lr:1e-05
disaster_typesepoch: 31_test:tensor(0.8025, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8629, device='cuda:0')_lr:1e-05
disaster_typesepoch: 32_test:tensor(0.8044, device='cuda:0')_val:tensor(0.7776, device='cuda:0')_train:tensor(0.8663, device='cuda:0')_lr:1e-05
disaster_typesepoch: 33_test:tensor(0.8025, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8667, device='cuda:0')_lr:1e-05
disaster_typesepoch: 34_test:tensor(0.7950, device='cuda:0')_val:tensor(0.7721, device='cuda:0')_train:tensor(0.8658, device='cuda:0')_lr:1e-05
disaster_typesepoch: 35_test:tensor(0.7969, device='cuda:0')_val:tensor(0.7762, device='cuda:0')_train:tensor(0.8705, device='cuda:0')_lr:1e-05
disaster_typesepoch: 36_test:tensor(0.8025, device='cuda:0')_val:tensor(0.7789, device='cuda:0')_train:tensor(0.8750, device='cuda:0')_lr:1e-05
disaster_typesepoch: 37_test:tensor(0.8013, device='cuda:0')_val:tensor(0.7782, device='cuda:0')_train:tensor(0.8733, device='cuda:0')_lr:1e-05
disaster_typesepoch: 38_test:tensor(0.7928, device='cuda:0')_val:tensor(0.7741, device='cuda:0')_train:tensor(0.8733, device='cuda:0')_lr:1e-05
