disaster_typesepoch: 0_test:tensor(0.6714, device='cuda:0')_val:tensor(0.6347, device='cuda:0')_train:tensor(0.4958, device='cuda:0')_lr:1e-05
disaster_typesepoch: 1_test:tensor(0.7211, device='cuda:0')_val:tensor(0.6769, device='cuda:0')_train:tensor(0.6379, device='cuda:0')_lr:1e-05
disaster_typesepoch: 2_test:tensor(0.7402, device='cuda:0')_val:tensor(0.6973, device='cuda:0')_train:tensor(0.6790, device='cuda:0')_lr:1e-05
disaster_typesepoch: 3_test:tensor(0.7531, device='cuda:0')_val:tensor(0.7204, device='cuda:0')_train:tensor(0.6995, device='cuda:0')_lr:1e-05
disaster_typesepoch: 4_test:tensor(0.7684, device='cuda:0')_val:tensor(0.7340, device='cuda:0')_train:tensor(0.7047, device='cuda:0')_lr:1e-05
disaster_typesepoch: 5_test:tensor(0.7706, device='cuda:0')_val:tensor(0.7367, device='cuda:0')_train:tensor(0.7221, device='cuda:0')_lr:1e-05
disaster_typesepoch: 6_test:tensor(0.7690, device='cuda:0')_val:tensor(0.7361, device='cuda:0')_train:tensor(0.7307, device='cuda:0')_lr:1e-05
disaster_typesepoch: 7_test:tensor(0.7825, device='cuda:0')_val:tensor(0.7517, device='cuda:0')_train:tensor(0.7344, device='cuda:0')_lr:1e-05
disaster_typesepoch: 8_test:tensor(0.7812, device='cuda:0')_val:tensor(0.7456, device='cuda:0')_train:tensor(0.7390, device='cuda:0')_lr:1e-05
disaster_typesepoch: 9_test:tensor(0.7750, device='cuda:0')_val:tensor(0.7463, device='cuda:0')_train:tensor(0.7437, device='cuda:0')_lr:1e-05
disaster_typesepoch: 10_test:tensor(0.7840, device='cuda:0')_val:tensor(0.7592, device='cuda:0')_train:tensor(0.7567, device='cuda:0')_lr:1e-05
disaster_typesepoch: 11_test:tensor(0.7812, device='cuda:0')_val:tensor(0.7626, device='cuda:0')_train:tensor(0.7615, device='cuda:0')_lr:1e-05
disaster_typesepoch: 12_test:tensor(0.7840, device='cuda:0')_val:tensor(0.7633, device='cuda:0')_train:tensor(0.7598, device='cuda:0')_lr:1e-05
disaster_typesepoch: 13_test:tensor(0.7856, device='cuda:0')_val:tensor(0.7565, device='cuda:0')_train:tensor(0.7697, device='cuda:0')_lr:1e-05
disaster_typesepoch: 14_test:tensor(0.7856, device='cuda:0')_val:tensor(0.7544, device='cuda:0')_train:tensor(0.7671, device='cuda:0')_lr:1e-05
disaster_typesepoch: 15_test:tensor(0.7884, device='cuda:0')_val:tensor(0.7687, device='cuda:0')_train:tensor(0.7707, device='cuda:0')_lr:1e-05
disaster_typesepoch: 16_test:tensor(0.7931, device='cuda:0')_val:tensor(0.7714, device='cuda:0')_train:tensor(0.7762, device='cuda:0')_lr:1e-05
disaster_typesepoch: 17_test:tensor(0.7900, device='cuda:0')_val:tensor(0.7612, device='cuda:0')_train:tensor(0.7848, device='cuda:0')_lr:1e-05
disaster_typesepoch: 18_test:tensor(0.7941, device='cuda:0')_val:tensor(0.7592, device='cuda:0')_train:tensor(0.7806, device='cuda:0')_lr:1e-05
disaster_typesepoch: 19_test:tensor(0.7931, device='cuda:0')_val:tensor(0.7619, device='cuda:0')_train:tensor(0.7891, device='cuda:0')_lr:1e-05
disaster_typesepoch: 20_test:tensor(0.7906, device='cuda:0')_val:tensor(0.7544, device='cuda:0')_train:tensor(0.7946, device='cuda:0')_lr:1e-05
disaster_typesepoch: 21_test:tensor(0.7812, device='cuda:0')_val:tensor(0.7510, device='cuda:0')_train:tensor(0.7953, device='cuda:0')_lr:1e-05
disaster_typesepoch: 22_test:tensor(0.7931, device='cuda:0')_val:tensor(0.7646, device='cuda:0')_train:tensor(0.8020, device='cuda:0')_lr:1e-05
disaster_typesepoch: 23_test:tensor(0.7937, device='cuda:0')_val:tensor(0.7667, device='cuda:0')_train:tensor(0.8011, device='cuda:0')_lr:1e-05
disaster_typesepoch: 24_test:tensor(0.7959, device='cuda:0')_val:tensor(0.7578, device='cuda:0')_train:tensor(0.8087, device='cuda:0')_lr:1e-05
disaster_typesepoch: 25_test:tensor(0.7937, device='cuda:0')_val:tensor(0.7639, device='cuda:0')_train:tensor(0.8094, device='cuda:0')_lr:1e-05
disaster_typesepoch: 26_test:tensor(0.7991, device='cuda:0')_val:tensor(0.7605, device='cuda:0')_train:tensor(0.8134, device='cuda:0')_lr:1e-05
disaster_typesepoch: 27_test:tensor(0.7912, device='cuda:0')_val:tensor(0.7680, device='cuda:0')_train:tensor(0.8165, device='cuda:0')_lr:1e-05
disaster_typesepoch: 28_test:tensor(0.7956, device='cuda:0')_val:tensor(0.7796, device='cuda:0')_train:tensor(0.8215, device='cuda:0')_lr:1.0000000000000002e-06
